id,split,language,country,category,subcategory,label,image_relpath,image_exists,image_width,image_height,image_format,image_mode,image_is_animated,image_size_bytes,image_error,audio_relpath,audio_exists,audio_duration_sec,audio_sample_rate,audio_channels,audio_subtype,audio_size_bytes,audio_error
532c659773ae1b0ad4e0228bb5e09c6dea56c636f450c285ab5e935f57c9ce83,train,msa,Algeria,Religion & Spirituality,Places of Worship,2,images/532c659773ae1b0ad4e0228bb5e09c6dea56c636f450c285ab5e935f57c9ce83.jpg,True,1185.0,758.0,JPEG,RGB,False,188771.0,,audio/msa/532c659773ae1b0ad4e0228bb5e09c6dea56c636f450c285ab5e935f57c9ce83.wav,True,22.836291666666668,24000,1,PCM_16,1096186,
4c56e31a0b238fb071edafbf1f1c1aaee3bc5284612316dedc164f71befe8963,train,msa,Algeria,"People, Society & Education",People & Everyday Life,2,images/4c56e31a0b238fb071edafbf1f1c1aaee3bc5284612316dedc164f71befe8963.png,True,1080.0,1080.0,PNG,RGB,False,1567465.0,,audio/msa/4c56e31a0b238fb071edafbf1f1c1aaee3bc5284612316dedc164f71befe8963.wav,True,16.937625,24000,1,PCM_16,813050,
57722ab76e9d0d9d4971e1647db68fc6a6f9126fb414a514d2ba719aa27c63fd,train,msa,Algeria,"People, Society & Education",People & Everyday Life,1,images/57722ab76e9d0d9d4971e1647db68fc6a6f9126fb414a514d2ba719aa27c63fd.jpg,True,923.0,1200.0,JPEG,RGB,False,137571.0,,audio/msa/57722ab76e9d0d9d4971e1647db68fc6a6f9126fb414a514d2ba719aa27c63fd.wav,True,19.860291666666665,24000,1,PCM_16,953338,
726c6b4fc741f82cf4b02f6db66d034c8097e44e8cfbac11fb4167befb5216ce,train,msa,Algeria,"People, Society & Education",Social Interaction,0,images/726c6b4fc741f82cf4b02f6db66d034c8097e44e8cfbac11fb4167befb5216ce.jpg,True,1300.0,956.0,JPEG,RGB,False,226573.0,,audio/msa/726c6b4fc741f82cf4b02f6db66d034c8097e44e8cfbac11fb4167befb5216ce.wav,True,24.137625,24000,1,PCM_16,1158650,
46c40501d472ada29e6f3589b09de67639133cc81ecce006e6fec33ec0e7c7f4,train,msa,Algeria,"History, Geography & National Identity",Historical Narratives,0,images/46c40501d472ada29e6f3589b09de67639133cc81ecce006e6fec33ec0e7c7f4.jpg,True,1080.0,1350.0,JPEG,RGB,False,300468.0,,audio/msa/46c40501d472ada29e6f3589b09de67639133cc81ecce006e6fec33ec0e7c7f4.wav,True,21.342958333333332,24000,1,PCM_16,1024506,
30e7be59ad616db7b1f1f0890cfc3a0cddf8e1d2cf612c1e83755c89824418ed,train,msa,Algeria,Food & Cooking,Beverages,0,images/30e7be59ad616db7b1f1f0890cfc3a0cddf8e1d2cf612c1e83755c89824418ed.jpg,True,1080.0,1080.0,JPEG,RGB,False,46664.0,,audio/msa/30e7be59ad616db7b1f1f0890cfc3a0cddf8e1d2cf612c1e83755c89824418ed.wav,True,18.750958333333333,24000,1,PCM_16,900090,
c4dc2c5534832ddf6809b0d7d888c7bbf2168ac8074ee602fa07fa7831fce231,train,msa,Algeria,"People, Society & Education",Healthcare & Well-being,2,images/c4dc2c5534832ddf6809b0d7d888c7bbf2168ac8074ee602fa07fa7831fce231.jpg,True,800.0,1066.0,JPEG,RGB,False,105893.0,,audio/msa/c4dc2c5534832ddf6809b0d7d888c7bbf2168ac8074ee602fa07fa7831fce231.wav,True,21.257625,24000,1,PCM_16,1020410,
c8b63b79baf505f074a768532f52e05d8e2d48d256edddeb12ca640deb9ee4e8,train,msa,Algeria,"Culture, Arts & Entertainment",Heritage & History,1,images/c8b63b79baf505f074a768532f52e05d8e2d48d256edddeb12ca640deb9ee4e8.jpg,True,1440.0,809.0,JPEG,RGB,False,231201.0,,audio/msa/c8b63b79baf505f074a768532f52e05d8e2d48d256edddeb12ca640deb9ee4e8.wav,True,20.318958333333335,24000,1,PCM_16,975354,
52dcf3a6225668082c82aed8dd47b7e13820ff22518e299397e4739c0fa34f10,train,msa,Algeria,"People, Society & Education",People & Everyday Life,0,images/52dcf3a6225668082c82aed8dd47b7e13820ff22518e299397e4739c0fa34f10.jpg,True,960.0,1280.0,JPEG,RGB,False,50032.0,,audio/msa/52dcf3a6225668082c82aed8dd47b7e13820ff22518e299397e4739c0fa34f10.wav,True,12.436291666666667,24000,1,PCM_16,596986,
b7b7983b0dae4bd4da4030b47d9c9355e9f059e252cfe4823605e4c61ef38c2d,train,msa,Algeria,Vehicles & Transportation,Water Transport,2,images/b7b7983b0dae4bd4da4030b47d9c9355e9f059e252cfe4823605e4c61ef38c2d.jpg,True,1536.0,864.0,JPEG,RGB,False,142541.0,,audio/msa/b7b7983b0dae4bd4da4030b47d9c9355e9f059e252cfe4823605e4c61ef38c2d.wav,True,15.209625,24000,1,PCM_16,730106,
